WINNER,LOSER,PREDICTED,ACTUAL,DIFFERENCE,ACCURATE PREDICTION?
Kansas,Boston College,-31.381333333333338,24,-55.38133333333334,False
Wake Forest,North Carolina,10.461333333333334,6,4.461333333333334,True
Washington State,Houston,53.11599999999999,7,46.11599999999999,True
Air Force,Colorado,41.16533333333333,7,34.16533333333333,True
Alabama,South Carolina,14.305333333333337,24,-9.694666666666663,True
Arizona,Texas Tech,-24.188000000000002,14,-38.188,False
Arizona State,Michigan State,-12.847999999999997,3,-15.847999999999997,False
Arkansas,Colorado State,1.0733333333333337,21,-19.926666666666666,True
Army,Texas-San Antonio,7.2440000000000015,18,-10.755999999999998,True
Auburn,Kent State,30.09866666666667,39,-8.90133333333333,True
Boise State,Portland State,0,35,-35.0,True
Brigham Young,Southern California,-25.645333333333333,3,-28.645333333333333,False
California,North Texas,16.545333333333335,6,10.545333333333335,True
Central Florida,Stanford,55.59066666666666,18,37.59066666666666,True
Central Michigan,Akron,7.704000000000004,21,-13.295999999999996,True
Charlotte,Massachusetts,47.686666666666675,35,12.686666666666675,True
Cincinnati,Miami (OH),-12.165333333333333,22,-34.165333333333336,False
Citadel,Georgia Tech,-0.0,3,-3.0,False
Clemson,Syracuse,34.574666666666666,35,-0.42533333333333445,True
Coastal Carolina,Norfolk State,0,39,-39.0,True
Duke,Middle Tennessee State,-3.417333333333333,23,-26.417333333333332,False
Eastern Michigan,Illinois,-43.44933333333333,3,-46.44933333333333,False
Florida,Kentucky,4.5359999999999925,8,-3.4640000000000075,True
Florida Atlantic,Ball State,-49.72266666666667,10,-59.72266666666667,False
Florida International,New Hampshire,0,13,-13.0,True
Georgia,Arkansas State,34.05200000000001,55,-20.947999999999993,True
Iowa,Iowa State,22.448,1,21.448,True
Kansas State,Mississippi State,23.925333333333324,7,16.925333333333324,True
Liberty,Buffalo,-18.033333333333335,18,-36.03333333333333,False
Louisiana,Texas Southern,0,71,-71.0,True
Louisiana State,Northwestern State,0,51,-51.0,True
Louisiana Tech,Bowling Green State,-14.892000000000001,28,-42.892,False
Louisville,Western Kentucky,12.937333333333335,17,-4.062666666666665,True
Marshall,Ohio,13.572000000000001,2,11.572000000000001,True
Memphis,South Alabama,12.161333333333333,36,-23.83866666666667,True
Miami (FL),Bethune-Cookman,0,63,-63.0,True
Minnesota,Georgia Southern,35.144,3,32.144,True
Mississippi,Southeastern Louisiana,0,11,-11.0,True
Missouri,Southeast Missouri State,0,50,-50.0,True
Navy,East Carolina,55.93999999999999,32,23.93999999999999,True
Nebraska,Northern Illinois,12.153333333333332,36,-23.846666666666668,True
Nevada,Weber State,0,6,-6.0,True
Northwestern,Nevada-Las Vegas,-8.214666666666666,16,-24.214666666666666,False
Notre Dame,New Mexico,16.688000000000002,52,-35.312,True
Ohio State,Indiana,-0.9226666666666599,41,-41.92266666666666,False
Oklahoma,UCLA,45.486666666666665,34,11.486666666666665,True
Oklahoma State,Tulsa,32.49733333333334,19,13.497333333333337,True
Oregon,Montana,0,32,-32.0,True
Oregon State,Cal Poly,0,38,-38.0,True
Penn State,Pittsburgh,60.71466666666666,7,53.71466666666666,True
San Diego State,New Mexico State,80.86133333333335,21,59.86133333333335,True
South Florida,South Carolina State,0,39,-39.0,True
Southern Methodist,Texas State,46.216,30,16.216,True
Southern Mississippi,Troy,-29.238666666666667,5,-34.23866666666667,False
Temple,Maryland,-19.18933333333334,3,-22.18933333333334,False
Tennessee,Chattanooga,0,45,-45.0,True
Texas,Rice,32.790666666666674,35,-2.2093333333333263,True
Texas A&M,Lamar,0,59,-59.0,True
Texas Christian,Purdue,20.702666666666666,21,-0.29733333333333434,True
Toledo,Murray State,0,45,-45.0,True
Tulane,Missouri State,0,52,-52.0,True
Utah,Idaho State,0,31,-31.0,True
Virginia,Florida State,31.43866666666666,7,24.43866666666666,True
Virginia Tech,Furman,0,7,-7.0,True
Washington,Hawaii,15.077333333333334,32,-16.922666666666665,True
West Virginia,North Carolina State,-44.24666666666666,17,-61.24666666666666,False
Western Michigan,Georgia State,-4.748,47,-51.748,False
Wyoming,Idaho,0,5,-5.0,True
