WINNER,LOSER,DIFFERENCE
Appalachian State,Marshall,3.6666666666666656
Charlotte,Middle Tennessee State,10.333333333333334
Fresno State,Nevada-Las Vegas,23.666666666666668
Liberty,Syracuse,3.0000000000000013
Wake Forest,Virginia,10.333333333333332
Air Force,Florida Atlantic,3.6666666666666656
Alabama,Southern Mississippi,17.0
Alabama-Birmingham,Tulane,10.333333333333334
Arizona State,Colorado,10.333333333333334
Arkansas,Texas A&M,3.6666666666666656
Army,Miami (OH),17.0
Auburn,Georgia State,10.333333333333334
Baylor,Iowa State,10.333333333333332
Utah State,Boise State,9.666666666666668
Boston College,Missouri,10.333333333333332
Minnesota,Bowling Green State,3.0000000000000013
Brigham Young,South Florida,17.0
Buffalo,Old Dominion,3.666666666666667
Central Michigan,Florida International,3.666666666666667
Coastal Carolina,Massachusetts,23.666666666666668
Duke,Kansas,10.333333333333334
East Carolina,Charleston Southern,
Eastern Michigan,Texas State,10.333333333333334
Florida,Tennessee,3.6666666666666656
Georgia,Vanderbilt,17.0
North Carolina,Georgia Tech,3.0000000000000013
Hawaii,New Mexico State,3.666666666666667
Houston,Navy,17.0
Indiana,Western Kentucky,3.666666666666667
Iowa,Colorado State,17.0
Kentucky,South Carolina,10.333333333333332
Louisiana,Georgia Southern,10.333333333333334
Louisiana State,Mississippi State,3.6666666666666656
Louisiana Tech,North Texas,3.666666666666667
Troy,Louisiana-Monroe,3.0000000000000013
Louisville,Florida State,17.0
Maryland,Kent State,17.0
Miami (FL),Central Connecticut State,
Michigan,Rutgers,3.6666666666666656
Michigan State,Nebraska,10.333333333333332
North Carolina State,Clemson,3.6666666666666656
Northern Illinois,Maine,
Northwestern,Ohio,10.333333333333334
Notre Dame,Wisconsin,17.0
Ohio State,Akron,10.333333333333334
Oklahoma,West Virginia,10.333333333333332
Oklahoma State,Kansas State,3.6666666666666656
Oregon,Arizona,23.666666666666668
Oregon State,Southern California,3.6666666666666656
Penn State,Villanova,
Pittsburgh,New Hampshire,
Purdue,Illinois,10.333333333333334
Rice,Texas Southern,
San Diego State,Towson,
Southern Methodist,Texas Christian,10.333333333333332
Temple,Wagner,
Texas Tech,Texas,3.0000000000000013
Texas-El Paso,New Mexico,3.6666666666666656
Texas-San Antonio,Memphis,3.6666666666666656
Toledo,Ball State,3.666666666666667
Arkansas State,Tulsa,3.0
UCLA,Stanford,3.6666666666666656
Utah,Washington State,3.666666666666667
Virginia Tech,Richmond,
Washington,California,3.666666666666667
Western Michigan,San Jose State,3.6666666666666656
Wyoming,Connecticut,23.666666666666668
